REF_AREA_LABEL,Year of First Value_parliament,First Value_parliament,Year of Last Value_parliament,Last Value_parliament,Area_parliament,Change_parliament,Year of First Value_land,First Value_land,Year of Last Value_land,Last Value_land,Area_land,Change_land,Year of First Value_savings,First Value_savings,Year of Last Value_savings,Last Value_savings,Area_savings,Change_savings,Year of First Value_youth literacy,First Value_youth literacy,Year of Last Value_youth literacy,Last Value_youth literacy,Area_youth literacy,Change_youth literacy,Year of First Value_refuse sex,First Value_refuse sex,Year of Last Value_refuse sex,Last Value_refuse sex,Area_refuse sex,Change_refuse sex,Year of First Value_belief beating,First Value_belief beating,Year of Last Value_belief beating,Last Value_belief beating,Area_belief beating,Change_belief beating,Year of First Value_family planning,First Value_family planning,Year of Last Value_family planning,Last Value_family planning,Area_family planning,Change_family planning
Namibia,2000,25.0,2022,44.2307692307692,parliament,19.230769230769198,2013.0,7.305555555555555,2013.0,7.305555555555555,land,0.0,2014.0,24.56,2021.0,30.4,savings,5.84,2000.0,1.02636516094208,2021.0,1.02235996723175,youth literacy,-0.004005193710330035,2007.0,84.32222222222222,2013.0,87.31666666666666,refuse sex,2.99444444444444,2007.0,35.2,2013.0,28.2,belief beating,-7.0000000000000036,2000.0,64.7,2013.0,76.2,family planning,11.5
Niger,2000,1.20481927710843,2022,25.9036144578313,parliament,24.69879518072287,2012.0,12.155555555555557,2012.0,12.155555555555557,land,0.0,2011.0,0.99,2022.0,1.7,savings,0.71,2001.0,0.542639970779419,2022.0,0.723299980163574,youth literacy,0.18066000938415505,2006.0,46.75833333333333,2012.0,56.96666666666667,refuse sex,10.208333333333336,2006.0,70.1,2012.0,59.6,belief beating,-10.499999999999993,2006.0,41.1,2012.0,46.5,family planning,5.399999999999999
Nigeria,2000,3.41880341880342,2022,3.61111111111111,parliament,0.19230769230768985,2013.0,4.788888888888889,2018.0,3.8666666666666663,land,-0.9222222222222225,2011.0,20.91,2021.0,12.33,savings,-8.58,2003.0,0.774489998817444,2018.0,0.836749970912933,youth literacy,0.06225997209548906,2003.0,55.18611111111111,2018.0,69.0,refuse sex,13.81388888888889,2003.0,64.2,2018.0,28.0,belief beating,-36.2,2003.0,41.8,2018.0,46.9,family planning,5.100000000000001
Rwanda,2000,25.7142857142857,2022,61.25,parliament,35.5357142857143,2010.0,17.977777777777778,2020.0,10.283333333333331,land,-7.694444444444446,2011.0,12.64,2017.0,15.55,savings,2.91,2000.0,0.978860020637512,2021.0,1.07641005516052,youth literacy,0.09755003452300803,2000.0,55.224999999999994,2020.0,72.55,refuse sex,17.325000000000003,2000.0,63.3,2020.0,49.6,belief beating,-13.699999999999996,2000.0,26.7,2020.0,82.5,family planning,55.8
Sao Tome and Principe,2000,9.09090909090909,2022,14.5454545454545,parliament,5.454545454545411,,,,,,,,,,,,,2001.0,0.988319993019104,2022.0,1.00416994094849,youth literacy,0.0158499479293861,2009.0,69.28888888888889,2009.0,69.28888888888889,refuse sex,0.0,,,,,,,2009.0,50.5,2009.0,50.5,family planning,0.0
Senegal,2000,12.1428571428571,2022,44.2424242424242,parliament,32.099567099567096,2011.0,3.8666666666666663,2019.0,1.4166666666666667,land,-2.4499999999999993,2011.0,3.02,2021.0,5.81,savings,2.7899999999999996,2002.0,0.70048999786377,2022.0,0.928529977798462,youth literacy,0.22803997993469205,2005.0,49.84444444444445,2017.0,51.86666666666667,refuse sex,2.0222222222222186,2005.0,65.2,2019.0,39.1,belief beating,-26.1,2005.0,27.0,2019.0,55.4,family planning,28.4
Seychelles,2000,23.5294117647059,2022,22.8571428571429,parliament,-0.672268907562998,,,,,,,,,,,,,2002.0,1.00608003139496,2020.0,1.0110399723053,youth literacy,0.004959940910340022,,,,,,,,,,,,,,,,,,
Sierra Leone,2000,8.75,2022,12.3287671232877,parliament,3.578767123287699,2013.0,12.177777777777775,2019.0,11.25,land,-0.9277777777777754,2011.0,10.61,2021.0,3.37,savings,-7.239999999999999,2004.0,0.626649975776672,2022.0,0.952409982681274,youth literacy,0.32576000690460194,2008.0,55.861111111111114,2019.0,62.383333333333326,refuse sex,6.5222222222222115,2008.0,64.6,2019.0,48.6,belief beating,-15.999999999999993,2008.0,22.4,2019.0,46.1,family planning,23.700000000000003
Somalia,2005,8.0,2022,19.7080291970803,parliament,11.7080291970803,,,,,,,2014.0,1.29,2014.0,1.29,savings,0.0,2022.0,0.8473100066185,2022.0,0.8473100066185,youth literacy,0.0,,,,,,,,,,,,,,,,,,
South Africa,2000,29.8245614035088,2022,46.5,parliament,16.6754385964912,,,,,,,2011.0,20.55,2021.0,33.34,savings,12.790000000000003,2007.0,1.01066994667053,2021.0,1.0160299539566,youth literacy,0.005360007286070001,,,,,,,2016.0,5.5,2016.0,5.5,belief beating,0.0,2016.0,78.6,2016.0,78.6,family planning,0.0
South Sudan,2011,26.5060240963855,2022,32.3636363636364,parliament,5.857612267250904,,,,,,,2017.0,2.88,2021.0,0.46,savings,-2.42,2008.0,0.67101001739502,2018.0,0.978190004825592,youth literacy,0.30717998743057207,,,,,,,,,,,,,,,,,,
Sudan,2001,9.72222222222222,2018,30.5164319248826,parliament,20.794209702660382,,,,,,,2011.0,2.42,2014.0,3.94,savings,1.52,2000.0,0.844060003757477,2018.0,1.01333999633789,youth literacy,0.16927999258041293,,,,,,,,,,,,,,,,,,
Tanzania,2001,22.2627737226277,2022,36.8556701030928,parliament,14.592896380465099,2016.0,11.95,2016.0,11.95,land,0.0,2011.0,11.4,2021.0,4.15,savings,-7.25,2002.0,0.94173002243042,2022.0,1.01693999767303,youth literacy,0.07520997524260997,2005.0,66.26666666666667,2010.0,82.56666666666666,refuse sex,16.299999999999997,2005.0,59.6,2022.0,47.8,belief beating,-11.800000000000004,2005.0,52.1,2016.0,63.4,family planning,11.299999999999997
Togo,2000,4.93827160493827,2022,18.6813186813187,parliament,13.74304707638043,2014.0,3.266666666666667,2014.0,3.266666666666667,land,0.0,2011.0,2.63,2021.0,10.88,savings,8.25,2000.0,0.758539974689484,2019.0,0.912280023097992,youth literacy,0.15374004840850808,2014.0,67.81666666666666,2014.0,67.81666666666666,refuse sex,0.0,2014.0,28.7,2014.0,28.7,belief beating,0.0,2014.0,37.1,2014.0,37.1,family planning,0.0
Tunisia,2000,11.5384615384615,2022,26.2672811059908,parliament,14.728819567529301,,,,,,,2014.0,8.56,2021.0,10.53,savings,1.9699999999999989,2004.0,0.956900000572205,2022.0,1.00153005123138,youth literacy,0.044630050659175025,,,,,,,,,,,,,,,,,,
Uganda,2000,17.7935943060498,2022,33.8129496402878,parliament,16.019355334237996,2011.0,13.133333333333333,2016.0,10.477777777777778,land,-2.655555555555555,2011.0,12.61,2021.0,13.72,savings,1.1100000000000012,2002.0,0.886240005493164,2022.0,1.02558994293213,youth literacy,0.13934993743896606,2001.0,67.40833333333333,2016.0,75.56666666666666,refuse sex,8.158333333333331,2001.0,76.5,2016.0,49.0,belief beating,-27.5,2001.0,39.4,2016.0,57.9,family planning,18.5
Zambia,2000,10.126582278481,2022,15.0602409638554,parliament,4.9336586853744,2014.0,11.43888888888889,2018.0,9.316666666666666,land,-2.1222222222222236,2011.0,13.06,2021.0,7.95,savings,-5.11,2002.0,0.853150010108948,2020.0,0.99251002073288,youth literacy,0.139360010623932,2002.0,61.88611111111111,2018.0,54.93333333333334,refuse sex,-6.952777777777776,2002.0,85.4,2018.0,45.1,belief beating,-40.300000000000004,2002.0,55.4,2018.0,71.6,family planning,16.199999999999996
Zimbabwe,2000,9.33333333333333,2022,30.5660377358491,parliament,21.232704402515772,2011.0,12.705555555555556,2015.0,10.716666666666669,land,-1.9888888888888872,2011.0,16.97,2021.0,3.05,savings,-13.919999999999998,2011.0,1.02751004695892,2022.0,1.08395004272461,youth literacy,0.05643999576569003,2006.0,71.42222222222222,2015.0,61.56666666666666,refuse sex,-9.855555555555554,2006.0,47.7,2015.0,38.7,belief beating,-9.0,2006.0,79.6,2015.0,86.5,family planning,6.900000000000006
